FirstName,LastName,Age,Pos,Tm,H/A,Opp,Column2,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
Cole,Anthony,20-230,G,ORL,H,PHI,L,12/31/2020,0,30,5,18,0.278,4,14,0.286,1,4,0.25,5,5,1,1,6,7,2,0,0,2,2,16,6.5,-7.2
Evan,Fournier,28-061,G-F,ORL,A,OKC,W,12/29/2020,1,32,5,11,0.455,3,5,0.6,2,6,0.333,2,2,1,0,1,1,2,2,0,4,4,14,6.4,-7.7
Khem,Birch,28-089,C-F,ORL,A,WAS,W,12/26/2020,0,17,4,6,0.667,4,6,0.667,0,0,0,0,0,0,0,5,5,1,0,0,0,3,8,6.4,-1.3
Cole,Anthony,20-234,G,ORL,H,CLE,W,1/4/2021,0,21,2,9,0.222,1,7,0.143,1,2,0.5,4,5,0.8,1,4,5,4,0,1,1,3,9,6.3,-3.5
Khem,Birch,28-096,C-F,ORL,H,OKC,L,1/2/2021,0,15,2,4,0.5,2,4,0.5,0,0,0,1,1,1,2,0,2,0,1,1,0,1,5,5.7,-1.3
Chuma,Okeke,22-133,F,ORL,A,OKC,W,12/29/2020,0,18,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,1,2,3,1,2,1,0,0,3,5.6,2.4
Dwayne,Bacon,25-118,G,ORL,A,WAS,W,12/26/2020,1,20,2,3,0.667,0,1,0,2,2,1,0,0,0,0,1,1,1,1,0,1,1,6,5.3,1.8
Khem,Birch,28-094,C-F,ORL,H,PHI,L,12/31/2020,0,24,2,7,0.286,2,7,0.286,0,0,0,2,2,1,4,3,7,1,1,1,2,2,6,5.2,-6.2
Michael,Carter-Williams,29-077,G,ORL,A,WAS,W,12/26/2020,0,19,3,4,0.75,2,2,1,1,2,0.5,1,2,0.5,2,1,3,2,0,0,3,3,8,4.9,-3.3
Markelle,Fultz,22-216,G,ORL,H,PHI,L,12/31/2020,1,24,4,11,0.364,4,10,0.4,0,1,0,1,1,1,0,2,2,4,1,1,2,3,9,4.8,-5
Khem,Birch,28-086,C-F,ORL,H,MIA,W,12/23/2020,0,14,2,4,0.5,2,4,0.5,0,0,0,2,2,1,1,1,2,0,1,0,0,3,6,4.8,-3.2
Chuma,Okeke,22-127,F,ORL,H,MIA,W,12/23/2020,0,22,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,2,3,5,2,1,0,1,0,3,4.6,-2.7
Khem,Birch,28-092,C-F,ORL,A,OKC,W,12/29/2020,0,14,3,4,0.75,3,4,0.75,0,0,0,1,2,0.5,1,1,2,0,2,0,2,4,7,4.4,-5.4
Michael,Carter-Williams,29-074,G,ORL,H,MIA,W,12/23/2020,0,18,2,5,0.4,2,3,0.667,0,2,0,0,0,0,3,0,3,0,1,1,0,2,4,4.3,-3.5
Dwayne,Bacon,25-119,G,ORL,A,WAS,W,12/27/2020,1,17,2,4,0.5,2,3,0.667,0,1,0,2,2,1,0,3,3,0,0,1,1,1,6,4.2,-5
Dwayne,Bacon,25-123,G,ORL,H,PHI,L,12/31/2020,1,28,4,9,0.444,3,6,0.5,1,3,0.333,1,2,0.5,0,3,3,1,0,0,2,1,10,4.1,-6.7
James,Ennis,30-189,F,ORL,H,CLE,W,1/6/2021,0,16,2,3,0.667,2,2,1,0,1,0,2,2,1,2,0,2,1,0,0,2,2,6,4,
Jordan,Bone,23-056,G,ORL,H,PHI,L,12/31/2020,0,9,2,4,0.5,2,3,0.667,0,1,0,0,0,0,1,1,2,1,0,0,0,0,4,3.7,1.9
Dwayne,Bacon,25-127,G,ORL,H,CLE,W,1/4/2021,1,25,3,7,0.429,1,3,0.333,2,4,0.5,0,0,0,0,2,2,1,1,0,3,0,8,3.6,-1.4
