FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Michael,Carter-Williams,29-080,G,12/29/2020,ORL,@,OKC,W,3.2,0,24,2,6,0.333,2,6,0.333,0,0,,0,0,,2,6,8,2,1,0,1,5,4,-8.4
Gary,Clark,26-049,F,1/4/2021,ORL,,CLE,W,3.2,0,21,2,5,0.4,0,1,0,2,4,0.5,0,0,,2,3,5,0,0,0,2,1,6,-3.9
Jordan,Bone,23-074,G,1/18/2021,ORL,@,NYK,L,3,0,12,2,2,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,1,1,5,-0.9
Dwayne,Bacon,25-132,G,1/9/2021,ORL,@,DAL,L,2.9,1,27,4,13,0.308,4,12,0.333,0,1,0,1,2,0.5,2,1,3,1,1,0,0,4,9,-11
Cole,Anthony,20-239,G,1/9/2021,ORL,@,DAL,L,2.7,1,32,2,8,0.25,1,3,0.333,1,5,0.2,3,4,0.75,0,2,2,3,0,0,2,2,8,-10.2
Khem,Birch,28-105,C-F,1/11/2021,ORL,,MIL,L,2.7,0,19,1,3,0.333,1,3,0.333,0,0,,0,0,,2,1,3,1,0,0,0,0,2,-6.9
Jordan,Bone,23-065,G,1/9/2021,ORL,@,DAL,L,2.7,0,13,1,2,0.5,1,1,1,0,1,0,0,0,,0,1,1,2,0,0,0,0,2,-4
Gary,Clark,26-045,F,12/31/2020,ORL,,PHI,L,2.6,0,10,1,2,0.5,1,1,1,0,1,0,1,1,1,0,2,2,0,0,0,0,0,3,-2.8
James,Ennis,30-194,F,1/11/2021,ORL,,MIL,L,2.6,1,15,1,3,0.333,0,1,0,1,2,0.5,0,0,,0,2,2,1,1,0,1,0,3,-3.2
Evan,Fournier,28-063,G-F,12/31/2020,ORL,,PHI,L,2.6,1,8,1,3,0.333,1,1,1,0,2,0,1,1,1,0,1,1,2,0,0,0,1,3,-1.3
Chuma,Okeke,22-130,F,12/26/2020,ORL,@,WAS,W,2.5,0,18,1,4,0.25,1,3,0.333,0,1,0,1,2,0.5,1,2,3,2,0,0,0,1,3,-6.6
Markelle,Fultz,22-222,G,1/6/2021,ORL,,CLE,W,2.3,1,4,1,3,0.333,1,3,0.333,0,0,,1,1,1,0,0,0,0,1,0,0,0,3,6.2
Markelle,Fultz,22-220,G,1/4/2021,ORL,,CLE,W,2.2,1,31,3,9,0.333,3,8,0.375,0,1,0,0,0,,0,5,5,8,0,0,5,2,6,-11.4
