Rk,Player,Age,Pos,Date,Tm,,Opp,,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
88,Jordan Bone\bonejo01,23-056,G,2020-12-31,ORL,,PHI,L,3.7,0,9,2,4,.500,2,3,.667,0,1,.000,0,0,,1,1,2,1,0,0,0,0,4,1.9
89,Dwayne Bacon\bacondw01,25-127,G,2021-01-04,ORL,,CLE,W,3.6,1,25,3,7,.429,1,3,.333,2,4,.500,0,0,,0,2,2,1,1,0,3,0,8,-1.4
90,Chuma Okeke\okekech01,22-135,F,2020-12-31,ORL,,PHI,L,3.6,0,17,2,4,.500,0,0,,2,4,.500,0,0,,0,1,1,1,0,0,1,1,6,-1.3
91,Dwayne Bacon\bacondw01,25-131,G,2021-01-08,ORL,@,HOU,L,3.4,1,28,4,10,.400,4,9,.444,0,1,.000,2,3,.667,0,1,1,1,0,0,1,2,10,-12.2
92,James Ennis\ennisja01,30-191,F,2021-01-08,ORL,@,HOU,L,3.4,1,20,2,7,.286,2,7,.286,0,0,,2,2,1.000,1,2,3,2,1,0,1,3,6,-9.4
93,Aaron Gordon\gordoaa01,25-102,F,2020-12-27,ORL,@,WAS,W,3.4,1,20,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,0,6,6,0,0,0,0,0,4,-8.0
94,Cole Anthony\anthoco01,20-245,G,2021-01-15,ORL,@,BOS,L,3.3,1,27,7,18,.389,6,12,.500,1,6,.167,0,1,.000,1,5,6,3,0,0,5,2,15,-12.3
95,Michael Carter-Williams\cartemi01,29-080,G,2020-12-29,ORL,@,OKC,W,3.2,0,24,2,6,.333,2,6,.333,0,0,,0,0,,2,6,8,2,1,0,1,5,4,-8.4
96,Gary Clark\clarkga01,26-049,F,2021-01-04,ORL,,CLE,W,3.2,0,21,2,5,.400,0,1,.000,2,4,.500,0,0,,2,3,5,0,0,0,2,1,6,-3.9
97,Dwayne Bacon\bacondw01,25-132,G,2021-01-09,ORL,@,DAL,L,2.9,1,27,4,13,.308,4,12,.333,0,1,.000,1,2,.500,2,1,3,1,1,0,0,4,9,-11.0
98,Cole Anthony\anthoco01,20-239,G,2021-01-09,ORL,@,DAL,L,2.7,1,32,2,8,.250,1,3,.333,1,5,.200,3,4,.750,0,2,2,3,0,0,2,2,8,-10.2
99,Khem Birch\birchkh01,28-105,C-F,2021-01-11,ORL,,MIL,L,2.7,0,19,1,3,.333,1,3,.333,0,0,,0,0,,2,1,3,1,0,0,0,0,2,-6.9
